date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST,peTTM,psTTM,pcfNcfTTM,pbMRQ,MACD,MACD_Signal,MACD_Histogram,EMA12,EMA26,BOLL_MID,BOLL_UPPER,BOLL_LOWER,BOLL_WIDTH,BOLL_PB
2025-06-06,sz.002173,11.3900,11.7000,11.1700,11.61,11.3900,76064551,869814391.1100,3,18.271400,1,1.931500,0,-48.833631,6.340663,-13.267274,2.907238,-0.4402534781978815,-0.3166812508353804,-0.12357222736250112,11.895452485254689,12.33570596345257,11.935454545454546,13.627065934311066,10.243843156598025,3.3832227777130406,0.4038033949172736
2025-06-05,sz.002173,11.6500,11.7400,11.2700,11.39,11.6200,54546901,624321874.8900,3,13.102600,1,-1.979300,0,-47.908274,6.220513,-13.015870,2.852148,-0.4479631054172142,-0.3429376217517472,-0.10502548366546699,11.817690564446275,12.26565366986349,11.89,13.533344704613677,10.246655295386324,3.2866894092273533,0.34787123523255525
2025-06-04,sz.002173,11.8900,12.0400,11.5600,11.62,12.1200,74791723,874282288.4300,3,17.965600,1,-4.125400,0,-48.875693,6.346125,-13.278701,2.909742,-0.430550840641283,-0.3604602655296544,-0.07009057511162864,11.78727663145454,12.217827472095824,11.86923076923077,13.449725660891005,10.288735877570534,3.1609897833204705,0.42115419969217194
2025-06-03,sz.002173,11.6200,12.7700,11.4500,12.12,11.6200,131337222,1608658216.0100,3,31.548400,1,4.302900,0,-50.978778,6.619194,-13.850074,3.034946,-0.37211615068132176,-0.36279144255998785,-0.009324708121333902,11.838464841999997,12.210580992681319,11.887142857142859,13.411537891174463,10.362747823111254,3.0487900680632087,0.5763769028561112
2025-05-30,sz.002173,10.5600,11.6200,10.5200,11.62,10.5600,125800285,1433525135.4500,3,30.218300,1,10.037900,0,-48.875693,6.346125,-13.278701,2.909742,-0.3619793861750118,-0.3626290312829926,0.000649645107980823,11.80485486630769,12.166834252482701,11.869333333333334,13.34474062173429,10.393926044932376,2.950814576801914,0.4155035577994327
2025-05-29,sz.002173,10.2600,10.6900,10.2300,10.56,10.3700,40278000,423826569.9300,3,9.675100,1,1.832200,0,-44.417153,5.767218,-12.067391,2.644310,-0.4344707600099529,-0.3769973770283847,-0.05747338298156818,11.613338733029584,12.047809493039537,11.7875,13.356032222599628,10.21896777740037,3.1370644451992575,0.10871062056806685
2025-05-28,sz.002173,10.2700,10.5000,10.1700,10.37,10.2700,33319896,343760909.5100,3,8.003700,1,0.973700,0,-43.617981,5.663452,-11.850270,2.596732,-0.501471457344909,-0.4018921930916896,-0.09957926425321945,11.422055851025032,11.923527308369941,11.704117647058823,13.371241799957001,10.036993494160644,3.3342483057963577,0.09987453701646841
2025-05-27,sz.002173,10.4200,10.4200,10.1500,10.27,10.4200,28446900,291861327.0000,3,6.833200,1,-1.439500,0,-43.197364,5.608838,-11.735995,2.571691,-0.5562273147173684,-0.43275921741682544,-0.12346809730054298,11.244816489328873,11.801043804046241,11.624444444444444,13.377401236935311,9.871487651953577,3.5059135849817338,0.11366861686309887
2025-05-26,sz.002173,10.1900,10.6800,10.0100,10.42,10.2000,36755800,379889762.0000,3,8.829100,1,2.156900,0,-43.828289,5.690759,-11.907407,2.609252,-0.5808226181890408,-0.4623718975712685,-0.11845072061777229,11.117921644816738,11.698744263005779,11.561052631578947,13.352016304352066,9.770088958805829,3.5819273455462373,0.181441715171099
2025-05-23,sz.002173,10.2800,10.5500,10.1600,10.2,10.3300,41012000,423303578.0600,3,9.851400,1,-1.258500,0,-42.902932,5.570608,-11.656003,2.554163,-0.6110232392202484,-0.4921021659010645,-0.11892107331918389,10.976702930229546,11.587726169449795,11.493,13.33940874758486,9.64659125241514,3.69281749516972,0.14986084427641735
2025-05-22,sz.002173,10.3000,10.8400,10.1800,10.33,10.5500,52752401,552724338.6500,3,12.671600,1,-2.085300,0,-43.449734,5.641606,-11.804560,2.586716,-0.6173510962763764,-0.517151951976127,-0.10019914430024945,10.877210171732692,11.494561268009068,11.357,13.119308294912042,9.594691705087957,3.5246165898240847,0.20862078928952174
2025-05-21,sz.002173,10.9000,11.7300,10.5500,10.55,10.7000,85481416,947453237.6600,3,20.533400,1,-1.401900,0,-44.375091,5.761757,-12.055964,2.641805,-0.5977236213627855,-0.5332662858534587,-0.06445733550932675,10.826870145312277,11.424593766675063,11.205000000000002,12.652691447206825,9.757308552793178,2.895382894413647,0.27377776139254034
